,sentence_no,word,pos,target
0,0,what,WP,O
1,0,movies,NNS,O
2,0,star,VBP,O
3,0,bruce,NN,B-ACTOR
4,0,willis,NN,I-ACTOR
5,1,show,VB,O
6,1,me,PRP,O
7,1,films,NNS,O
8,1,with,IN,O
9,1,drew,NNS,B-ACTOR
10,1,barrymore,RB,I-ACTOR
11,1,from,IN,O
12,1,the,DT,O
13,1,1980s,CD,B-YEAR
14,2,what,WP,O
15,2,movies,NNS,O
16,2,starred,VBD,O
17,2,both,DT,O
18,2,al,JJ,B-ACTOR
19,2,pacino,NN,I-ACTOR
20,2,and,CC,O
21,2,robert,NN,B-ACTOR
22,2,deniro,NN,I-ACTOR
23,3,find,VB,O
24,3,me,PRP,O
25,3,all,DT,O
26,3,of,IN,O
27,3,the,DT,O
28,3,movies,NNS,O
29,3,that,WDT,O
30,3,starred,VBD,O
31,3,harold,JJ,B-ACTOR
32,3,ramis,NN,I-ACTOR
33,3,and,CC,O
34,3,bill,NN,B-ACTOR
35,3,murray,NN,I-ACTOR
36,4,find,VB,O
37,4,me,PRP,O
38,4,a,DT,O
39,4,movie,NN,O
40,4,with,IN,O
41,4,a,DT,O
42,4,quote,NN,O
43,4,about,IN,O
44,4,baseball,NN,O
45,4,in,IN,O
46,4,it,PRP,O
47,5,what,WP,O
48,5,movies,NNS,O
49,5,have,VBP,O
50,5,mississippi,VBN,B-TITLE
51,5,in,IN,O
52,5,the,DT,O
53,5,title,NN,O
54,6,show,VB,O
55,6,me,PRP,O
56,6,science,JJ,B-GENRE
57,6,fiction,NN,I-GENRE
58,6,films,NNS,I-GENRE
59,6,directed,VBN,O
60,6,by,IN,O
61,6,steven,JJ,B-DIRECTOR
62,6,spielberg,NN,I-DIRECTOR
63,7,do,VBP,O
64,7,you,PRP,O
65,7,have,VB,O
66,7,any,DT,O
67,7,thrillers,NNS,B-GENRE
68,7,directed,VBN,O
69,7,by,IN,O
70,7,sofia,NN,B-DIRECTOR
71,7,coppola,NN,I-DIRECTOR
72,8,what,WP,O
73,8,leonard,VBD,B-SONG
74,8,cohen,NN,I-SONG
75,8,songs,NNS,I-SONG
76,8,have,VBP,O
77,8,been,VBN,O
78,8,used,VBN,O
79,8,in,IN,O
80,8,a,DT,O
81,8,movie,NN,O
82,9,show,VB,O
83,9,me,PRP,O
84,9,films,JJ,O
85,9,elvis,JJ,B-ACTOR
86,9,films,NNS,O
87,9,set,VBN,B-PLOT
88,9,in,IN,I-PLOT
89,9,hawaii,NN,I-PLOT
90,10,what,WP,O
91,10,movie,NN,O
92,10,is,VBZ,O
93,10,references,NNS,O
94,10,zydrate,NN,B-PLOT
95,11,are,VBP,O
96,11,there,EX,O
97,11,any,DT,O
98,11,musical,JJ,B-GENRE
99,11,films,NNS,I-GENRE
100,11,with,IN,O
101,11,patrick,JJ,B-ACTOR
102,11,dempsey,NN,I-ACTOR
103,12,list,NN,O
104,12,westerns,NNS,B-GENRE
105,12,starring,VBG,O
106,12,john,NN,B-ACTOR
107,12,wayne,NN,I-ACTOR
108,13,show,VB,O
109,13,me,PRP,O
110,13,military,JJ,B-GENRE
111,13,related,JJ,O
112,13,movies,NNS,O
113,13,with,IN,O
114,13,demi,NN,B-ACTOR
115,13,moore,NN,I-ACTOR
116,14,did,VBD,O
117,14,stephen,VB,B-DIRECTOR
118,14,made,VBN,O
119,14,any,DT,O
120,14,sex,NN,B-GENRE
121,14,or,CC,O
122,14,horror,NN,B-GENRE
123,14,movie,NN,O
124,14,that,WDT,O
125,14,must,MD,B-REVIEW
126,14,be,VB,O
127,14,have,VB,O
128,14,to,TO,O
129,14,watch,VB,B-REVIEW
130,15,did,VBD,O
131,15,ang,VB,B-DIRECTOR
132,15,lee,NN,I-DIRECTOR
133,15,direct,VBP,O
134,15,a,DT,O
135,15,costume,JJ,B-GENRE
136,15,drama,NN,I-GENRE
